sha	subject	files	status	classification	code_touch	disposition	evidence
0b37448748d57191c99b7d43969f08c66cec5798	WIP: add TurboQuant KV cache types (turbo3, turbo4)	common/arg.cpp,ggml/include/ggml.h,ggml/src/CMakeLists.txt,ggml/src/ggml-common.h,ggml/src/ggml-quants.h,ggml/src/ggml-turbo-quant.c,ggml/src/ggml.c	not_patch_equivalent	UNRESOLVED_CODE	1	INTENTIONAL_DROP	common/arg.cpp: exploratory/superseded step intentionally not replayed; current TurboQuant implementation in this file reflects later integrated behavior.
b37e5f0f2fc9739a418ead63145729c337b95e00	feat: Metal kernels for TurboQuant KV cache (turbo3, turbo4) #21	ggml/src/ggml-metal/ggml-metal-device.m,ggml/src/ggml-metal/ggml-metal.metal	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	ggml/src/ggml-metal/ggml-metal-device.m: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
63e25a58d5b56c6aadc04dc3d74096b1bf2fa464	feat: full TurboQuant with rotation matrices in Metal kernels #21	ggml/src/ggml-metal/ggml-metal.metal,ggml/src/ggml-metal/turbo-matrices.h	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	ggml/src/ggml-metal/ggml-metal.metal: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
f40ccae6e204118882421fa9afc6ec2952f6a68e	feat: inline rotation matrices in Metal shader + C round-trip test #21	ggml/src/ggml-metal/ggml-metal.metal,tests/test-turbo-quant.c	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	ggml/src/ggml-metal/ggml-metal.metal: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
d10ca517463031b9e53af757ead6ac77512a080a	fix: remove thread static from Metal dequantize, fix stale code #23	ggml/src/ggml-metal/ggml-metal.metal	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	ggml/src/ggml-metal/ggml-metal.metal: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
377727552f4d3e595b71f582a8982d24be7bd023	feat: replace dense 128x128 matvec with Fast Walsh-Hadamard rotation #26	ggml/src/ggml-metal/ggml-metal.metal,ggml/src/ggml-metal/turbo-wht.h	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	ggml/src/ggml-metal/ggml-metal.metal: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
fa5223686538364daca73f311b39b38c26b45d99	docs: detailed speed investigation plan for TurboQuant Metal shader #23	docs/turbo-speed-investigation.md	not_patch_equivalent	UNRESOLVED_NONCODE	0	INTENTIONAL_DROP	docs/turbo-speed-investigation.md: non-runtime/docs/ci or transient artifact intentionally not required for runtime parity.
8cf626a709e52e2aad789404eac2829ad9c66673	docs: log simd_broadcast attempt — no speed improvement #23	docs/turbo-speed-investigation.md	not_patch_equivalent	UNRESOLVED_NONCODE	0	INTENTIONAL_DROP	docs/turbo-speed-investigation.md: non-runtime/docs/ci or transient artifact intentionally not required for runtime parity.
2448468a35594c0fd7e5e56c1ab1bf056013af42	docs: log threadgroup attempt — no speed improvement, rethinking #23	docs/turbo-speed-investigation.md	not_patch_equivalent	UNRESOLVED_NONCODE	0	INTENTIONAL_DROP	docs/turbo-speed-investigation.md: non-runtime/docs/ci or transient artifact intentionally not required for runtime parity.
d675e128f0193177a2d5b24cdfeeb5799c2fda1e	docs: CRITICAL — dequant is NOT the bottleneck, no-op still 2.4 tok/s #23	docs/turbo-speed-investigation.md	not_patch_equivalent	UNRESOLVED_NONCODE	0	INTENTIONAL_DROP	docs/turbo-speed-investigation.md: non-runtime/docs/ci or transient artifact intentionally not required for runtime parity.
adfbc595b653db79884c843ac03f8ff1b64d4d26	fix: inline turbo-wht.h — was causing CPU fallback, not Metal! #23	ggml/src/ggml-metal/ggml-metal-ops.cpp,ggml/src/ggml-metal/ggml-metal.metal	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	ggml/src/ggml-metal/ggml-metal-ops.cpp: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
e8f23eb76681337e4ad7d1082be8d2d4dc767897	docs: real Metal benchmarks after #include fix — 8× gap not 35× #23	docs/turbo-speed-investigation.md	not_patch_equivalent	UNRESOLVED_NONCODE	0	INTENTIONAL_DROP	docs/turbo-speed-investigation.md: non-runtime/docs/ci or transient artifact intentionally not required for runtime parity.
447ca7975c5756029e677b7d141c307f93ddc5b2	docs: final investigation summary + upstream tracking #23 #27	docs/turbo-speed-investigation.md	not_patch_equivalent	UNRESOLVED_NONCODE	0	INTENTIONAL_DROP	docs/turbo-speed-investigation.md: non-runtime/docs/ci or transient artifact intentionally not required for runtime parity.
57873611293cb5cd214b784f8ecc058cf461ca25	docs: upstream competitive intel — pre-rotate-queries is the key #28	docs/turbo-speed-investigation.md	not_patch_equivalent	UNRESOLVED_NONCODE	0	INTENTIONAL_DROP	docs/turbo-speed-investigation.md: non-runtime/docs/ci or transient artifact intentionally not required for runtime parity.
786f0c93707f3f6198eeb2482a2d38274c130797	docs: speed ceiling test — 49 tok/s without dequant rotation (4.6× gain) #23	docs/turbo-speed-investigation.md	not_patch_equivalent	UNRESOLVED_NONCODE	0	INTENTIONAL_DROP	docs/turbo-speed-investigation.md: non-runtime/docs/ci or transient artifact intentionally not required for runtime parity.
79c08dd3fa0eab16a65ed0619a617e95166f2259	docs: pre-rotate-queries implementation plan + speed ceiling 49 tok/s	docs/pre-rotate-queries-plan.md,src/turbo-rotation-data.h	not_patch_equivalent	UNRESOLVED_CODE	1	INTENTIONAL_DROP	docs/pre-rotate-queries-plan.md: exploratory/superseded step intentionally not replayed; current TurboQuant implementation in this file reflects later integrated behavior.
808e1717e9dea11b607ebb1ab801b71fc8797b81	feat: pre-rotate-queries optimization — 51.4 tok/s (5× speedup) #23	ggml/src/ggml-metal/ggml-metal.metal,src/llama-graph.cpp,src/llama-kv-cache.cpp,src/llama-kv-cache.h,src/turbo-rotation-data.h	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	ggml/src/ggml-metal/ggml-metal.metal: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
ac157eeaf4478d6c1acdd976abdb9d2922198cbf	docs: final investigation summary — 2.4 → 51.4 tok/s journey complete #23	docs/turbo-speed-investigation.md	not_patch_equivalent	UNRESOLVED_NONCODE	0	INTENTIONAL_DROP	docs/turbo-speed-investigation.md: non-runtime/docs/ci or transient artifact intentionally not required for runtime parity.
d044965e52f04c1790eb1e04ecbe34a817509169	feat: MSE-only mode — drop QJL, all 3 bits to PolarQuant #23	ggml/src/ggml-metal/ggml-metal.metal	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	ggml/src/ggml-metal/ggml-metal.metal: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
068715cb81b0b4a5ed06bfac9c30a04571b0cc7a	docs: Change 2 not needed — Q rotation overhead is negligible	docs/turbo-speed-investigation.md	not_patch_equivalent	UNRESOLVED_NONCODE	0	INTENTIONAL_DROP	docs/turbo-speed-investigation.md: non-runtime/docs/ci or transient artifact intentionally not required for runtime parity.
c551be49457493d9205d0314ebe840e96c96242a	docs: block size is the bottleneck — q4_0 at block 32 = 100% of q8_0	docs/turbo-speed-investigation.md	not_patch_equivalent	UNRESOLVED_NONCODE	0	INTENTIONAL_DROP	docs/turbo-speed-investigation.md: non-runtime/docs/ci or transient artifact intentionally not required for runtime parity.
fff20923bfd5f9b458ee0d423c6ba5a90b75ef1d	feat: block size 32 — 77.7 tok/s MoE (91% of q8_0), 17.0 Qwopus (97%) 🎉	ggml/src/ggml-common.h,ggml/src/ggml-metal/ggml-metal.metal,ggml/src/ggml-turbo-quant.c	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	ggml/src/ggml-common.h: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
6a52a438a865437f0550bcaa3baefec7930d94c7	fix: TURBO_D=128 independent of QK_TURBO3, file turbo4 bugs #29	ggml/src/ggml-turbo-quant.c	present_exact_or_equivalent_in_tree	PORTED_EXACT_TREE	1	PORTED_DIFFERENTLY	ggml/src/ggml-turbo-quant.c: commit is represented in tree/history by exact or patch-equivalent integration.
2462ab3fdb0c7c769fbc6a4c17bc6708a46a43f9	docs: final investigation log — 77.7 tok/s, 91% of q8_0	docs/turbo-speed-investigation.md	not_patch_equivalent	UNRESOLVED_NONCODE	0	INTENTIONAL_DROP	docs/turbo-speed-investigation.md: non-runtime/docs/ci or transient artifact intentionally not required for runtime parity.
b4270ecbbbd90d7c39ea258d7d8d33085dd33098	CRITICAL: turbo3 perplexity is 165.6 vs q8_0 6.1 — quality broken #30	docs/quality-benchmarks.md,ggml/src/ggml-metal/ggml-metal.metal	not_patch_equivalent	UNRESOLVED_CODE	1	INTENTIONAL_DROP	docs/quality-benchmarks.md: exploratory/superseded step intentionally not replayed; current TurboQuant implementation in this file reflects later integrated behavior.
8755e2611a1bf59f4f6d0518513b58231160f346	CRITICAL: found TWO root causes for PPL=165 #30	docs/quality-benchmarks.md,src/llama-kv-cache.cpp,src/llama-kv-cache.h,src/turbo-rotation-data.h	not_patch_equivalent	UNRESOLVED_CODE	1	INTENTIONAL_DROP	docs/quality-benchmarks.md: exploratory/superseded step intentionally not replayed; current TurboQuant implementation in this file reflects later integrated behavior.
b0234bdf2a94a01c6da909be18e38338e533b134	docs: bisect confirms block size innocent, rotation access is the bug #31	docs/quality-benchmarks.md,ggml/src/ggml-common.h,ggml/src/ggml-metal/ggml-metal.metal	not_patch_equivalent	UNRESOLVED_CODE	1	INTENTIONAL_DROP	docs/quality-benchmarks.md: exploratory/superseded step intentionally not replayed; current TurboQuant implementation in this file reflects later integrated behavior.
ebe0a23bc6f5cd6df3ea65d0be9ed78394d09f54	fix: restore inverse rotation in dequant — PPL 6.19 (1.2% of q8_0) #31 #30	ggml/src/ggml-metal/ggml-metal.metal,src/llama-kv-cache.cpp,src/llama-kv-cache.h,src/llama-memory-hybrid.cpp,src/llama-memory-hybrid.h,src/llama-memory.h	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	ggml/src/ggml-metal/ggml-metal.metal: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
091e12a5a67eb24a11b543f38f7a223c5f725bbd	docs: perplexity 6.194 confirmed — 1.4% of q8_0 #30	docs/quality-benchmarks.md	not_patch_equivalent	UNRESOLVED_NONCODE	0	INTENTIONAL_DROP	docs/quality-benchmarks.md: non-runtime/docs/ci or transient artifact intentionally not required for runtime parity.
538e5af425229d09989f77b42381a3e8efe4a62d	docs: complete quality benchmark summary + lessons learned #30	docs/quality-benchmarks.md	not_patch_equivalent	UNRESOLVED_NONCODE	0	INTENTIONAL_DROP	docs/quality-benchmarks.md: non-runtime/docs/ci or transient artifact intentionally not required for runtime parity.
7300255c837aedfce7fba9385fa9b83c6952665a	perf: fp16 WHT dequant + SIMD cooperative dequant — 45% speedup	docs/pre-rotate-queries-investigation.md,docs/quality-benchmarks.md,docs/turbo-speed-investigation.md,ggml/src/ggml-metal/ggml-metal.metal,scripts/turbo-quality-gate.sh,src/llama-graph.cpp,src/llama-kv-cache.cpp,src/llama-kv-cache.h	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	docs/pre-rotate-queries-investigation.md: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
095aa0ba06ec54498668104ef03dbc38860f9a85	chore: move turboquant docs to turboquant_plus repo	docs/pre-rotate-queries-investigation.md,docs/pre-rotate-queries-plan.md,docs/quality-benchmarks.md,docs/turbo-speed-investigation.md,scripts/turbo-quality-gate.sh	present_exact_or_equivalent_in_tree	PORTED_EXACT_TREE	0	PORTED_DIFFERENTLY	docs/pre-rotate-queries-investigation.md: commit is represented in tree/history by exact or patch-equivalent integration.
557b03374a2364a90032085e3a0fc02ad6cff960	perf: vectorized half4 WHT butterfly — 31% speedup (1074 → 1411 tok/s)	ggml/src/ggml-metal/ggml-metal.metal	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	ggml/src/ggml-metal/ggml-metal.metal: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
cc31405c57a7941462ab9969ccd27db4efeb9798	perf: pre-packed half4 sign arrays — minor speedup (1411 → 1424 tok/s)	ggml/src/ggml-metal/ggml-metal.metal	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	ggml/src/ggml-metal/ggml-metal.metal: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
4de7c1c88a0284581e9ae9b7529c1e823d4ff8f7	perf: graph-side WHT rotation — 2095 tok/s (0.78x q8_0, was 0.53x)	ggml/src/ggml-metal/ggml-metal.metal,src/llama-graph.cpp	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	ggml/src/ggml-metal/ggml-metal.metal: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
e5b7470af70e918b137356614c568bb68497338d	perf: block-32 + graph WHT — 2747 tok/s (1.02x q8_0!!!)	ggml/src/ggml-common.h,ggml/src/ggml-metal/ggml-metal.metal	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	ggml/src/ggml-common.h: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
73f00086e64e7a293ab6e13fe02a3b4d2c7ebc27	feat: layer-adaptive KV cache — q8_0 quality with 80% turbo3 compression	src/llama-kv-cache.cpp	not_patch_equivalent	UNRESOLVED_CODE	1	PORTED_DIFFERENTLY	src/llama-kv-cache.cpp: non-equivalent hunk, but TurboQuant behavior is present via rebased/combined implementation in current HEAD for this file path.
